insurer_name,insurer_type,solvency_ratio,claims_ratio,premium_growth,reserve_adequacy,liquidity_ratio,compliance_score,policy_count,year,quarter,risk_label,anomaly_flag
FBC Insurance,reinsurer,1.3831,0.5834,0.0222,1.1227,1.1847,0.9413,7563,2018,3,strong,0
Heritage Insurance,composite,1.2681,0.554,0.2137,0.871,1.1517,0.5135,3542,2022,3,adequate,0
Alliance Insurance,general,1.7166,0.6277,0.3663,0.9363,1.5734,0.6529,2315,2023,4,strong,0
Sanctuary Insurance,reinsurer,0.8842,0.7748,0.1391,1.0548,1.162,0.7207,4965,2024,1,adequate,0
CABS Insurance,life,1.8439,0.6936,-0.0152,1.0516,1.3181,0.8255,4043,2021,1,strong,0
First Mutual Health,composite,1.4291,0.7077,0.2415,0.8448,1.4986,0.728,22258,2024,4,adequate,0
RM Life Zimbabwe,life,0.8015,0.9103,0.0322,0.9292,1.0617,0.8671,10440,2022,2,watch,0
Fidelity Life Zimbabwe,life,1.8709,0.6336,0.0805,0.9594,1.249,0.53,2979,2020,2,strong,0
CBZ Life,composite,2.3385,0.9097,0.2724,0.998,1.0869,0.6114,1785,2022,1,adequate,0
Old Mutual Zimbabwe,composite,1.1718,0.9796,-0.3772,0.4871,0.8206,0.5932,11177,2019,4,watch,1
Fidelity Life Zimbabwe,general,1.8126,0.4951,0.0196,0.7221,1.2718,0.6667,9490,2021,2,strong,0
FBC Insurance,composite,1.0818,0.7328,0.108,0.9549,1.7429,0.5777,7532,2019,4,adequate,0
Zimnat General Insurance,life,1.6411,0.5269,-0.2763,0.4963,1.1302,0.8208,3723,2022,4,adequate,0
Cell Insurance,reinsurer,1.2642,0.9919,0.1253,0.6693,1.5868,0.5081,1850,2021,3,adequate,0
ZB Life Assurance,composite,2.0186,0.5301,-0.1452,0.7736,1.1842,0.602,3593,2024,2,strong,0
Tristar Insurance,composite,1.6437,0.9485,-0.0075,0.9324,1.526,0.858,5947,2018,4,adequate,0
Fidelity Life Zimbabwe,composite,1.1106,0.8097,0.1233,0.805,0.8036,0.9286,1580,2018,3,adequate,0
ZB Bank Insurance,reinsurer,1.188,0.4324,-0.37,0.4739,1.0486,0.6806,2725,2023,1,adequate,1
Fidelity Life Zimbabwe,general,1.2363,0.5863,0.3079,1.0125,1.1583,0.6743,5378,2023,4,adequate,0
Old Mutual Life Assurance Zimbabwe,life,1.5735,0.7506,0.0693,0.7706,1.1257,0.72,4510,2022,1,adequate,0
FBC Insurance,life,0.9593,0.552,-0.3662,0.9652,1.2016,0.8626,5200,2018,4,adequate,0
Cell Insurance,life,1.166,0.8365,-0.124,0.9753,1.2376,0.7871,3366,2023,4,adequate,0
CABS Insurance,reinsurer,1.8926,0.1659,0.1151,0.8473,1.1349,0.633,3677,2021,2,strong,0
NicozDiamond Brokers,reinsurer,1.2192,0.9367,-0.05,0.7908,1.2531,0.9375,5538,2021,3,adequate,0
Tristar Insurance,composite,1.3298,0.5466,0.0584,1.087,1.6129,0.8939,17802,2023,4,strong,0
RM Insurance,general,1.8204,0.5668,0.2739,0.9443,1.0852,0.5784,6730,2022,3,strong,0
Tristar Insurance,composite,1.5579,0.5537,0.1129,1.1959,1.6222,0.6611,2084,2022,2,strong,0
NicozDiamond Brokers,composite,1.8379,0.6949,0.1022,0.8094,1.118,0.8647,1327,2021,2,adequate,0
RM Life Zimbabwe,life,1.5007,0.4372,-0.0574,0.7564,1.8421,0.7162,4929,2020,2,strong,0
Fidelity Life Assurance,general,0.5566,0.4824,0.4113,0.776,1.2159,0.9203,1380,2018,3,adequate,1
Moonlight Insurance,general,0.9078,0.2149,-0.1431,0.5731,0.9201,0.7897,3107,2024,4,adequate,0
Alliance Insurance,life,1.9008,0.4929,-0.2272,0.8112,1.5046,0.5432,5452,2020,3,strong,0
Minerva Risk Advisors,life,1.1434,0.6008,0.1546,0.9668,1.2764,0.8183,3658,2018,4,adequate,0
Moonlight Insurance,composite,1.5398,0.7316,0.3516,1.0251,1.1537,0.7502,5261,2018,4,adequate,0
NicozDiamond Brokers,general,2.1519,0.1984,0.2349,0.9111,1.7238,0.7288,10515,2021,4,strong,0
NicozDiamond Brokers,composite,1.333,1.0599,-0.278,0.731,0.7185,0.7297,6329,2021,2,watch,0
First Mutual Health,reinsurer,1.0964,0.6864,0.0597,0.8947,1.1955,0.9887,26758,2021,2,adequate,0
Sanctuary Insurance,general,0.9254,0.9762,-0.0242,0.9822,1.5767,0.7855,4782,2019,3,adequate,0
Heritage Insurance,life,1.363,0.812,0.1744,0.6431,1.0008,0.969,7069,2021,3,adequate,0
Sanctuary Insurance,general,1.6079,0.7126,0.2165,0.9045,1.5421,0.8415,4904,2019,2,strong,0
Nicoz Diamond Insurance,life,1.2705,1.0652,0.0582,0.725,1.3285,0.91,3098,2023,1,adequate,0
Heritage Life Assurance,composite,0.9663,0.8719,0.3344,0.9726,1.994,0.9628,2038,2021,2,adequate,0
Moonlight Insurance,general,1.5339,0.9009,0.162,1.0639,0.5894,0.6688,4022,2020,4,adequate,0
Zimnat General Insurance,composite,1.6203,0.4635,0.3966,0.8126,1.2235,0.9135,3920,2022,4,strong,0
First Mutual Health,general,1.7089,0.9739,0.2577,0.795,1.0607,0.7734,6092,2020,4,adequate,0
Heritage Life Assurance,reinsurer,1.3297,0.1656,0.1529,0.8088,0.9963,0.5521,6135,2023,1,strong,0
NicozDiamond Brokers,reinsurer,1.2062,0.8053,-0.0036,0.8533,1.4912,0.7116,19385,2020,1,adequate,0
Old Mutual Life Assurance Zimbabwe,life,1.8551,0.6262,0.0228,0.7499,1.2858,0.8887,3939,2019,3,adequate,0
ZB Bank Insurance,life,1.687,0.5603,-0.2383,0.9542,1.6362,0.9529,2620,2021,1,strong,0
CBZ Life,life,1.3788,0.8631,0.1857,0.8039,1.0721,0.8935,2893,2020,4,adequate,0
Sanctuary Insurance,life,1.8654,0.5407,0.1581,0.9482,1.2654,0.8896,3952,2018,1,strong,0
RM Insurance,composite,1.2641,0.9853,-0.0126,1.2055,1.7532,0.7211,5985,2020,3,adequate,0
Zimnat Life Assurance,general,0.7217,0.6438,0.1255,1.1198,0.7702,0.5584,1644,2019,3,adequate,1
Zimnat General Insurance,general,1.2537,0.7373,0.004,0.8156,0.947,0.9079,4723,2023,3,adequate,0
Sanctuary Insurance,life,1.563,0.6447,0.5139,0.7918,1.3694,0.5168,9674,2018,1,strong,0
FBC Insurance,general,1.4386,0.8135,0.1014,0.9277,1.0147,0.8213,2762,2022,3,adequate,0
Old Mutual Life Assurance Zimbabwe,general,0.5817,0.2501,0.2607,0.9356,0.9908,0.783,2950,2023,4,adequate,1
FBC Insurance,composite,1.5375,0.7265,0.2673,0.9498,2.031,0.588,7863,2018,4,strong,0
Sanctuary Insurance,composite,1.2371,0.2099,-0.1608,0.9768,1.8664,0.5643,4283,2024,1,strong,0
RM Life Zimbabwe,composite,1.8412,0.8239,-0.0212,0.7283,1.8177,0.826,7113,2018,1,adequate,0
Cell Insurance,life,0.7288,0.9766,-0.0244,0.7884,1.0322,0.5441,1926,2022,4,watch,1
Zimnat Life Assurance,life,1.5218,0.4504,-0.1199,0.9881,0.4,0.6114,1007,2023,1,strong,0
First Mutual Health,composite,0.7204,0.3314,0.4332,0.8736,1.536,0.9022,2981,2022,2,adequate,0
NicozDiamond Brokers,life,1.4528,1.0457,0.2106,0.9663,1.3767,0.7011,2360,2020,3,adequate,0
CBZ Life,reinsurer,1.1903,0.3451,-0.1268,0.8816,1.1275,0.7127,1702,2022,4,strong,0
RM Life Zimbabwe,life,1.5833,0.5872,0.3326,0.8289,1.2821,0.8047,6855,2024,4,strong,0
ZB Life Assurance,life,1.4367,0.6972,0.3013,0.7989,1.1775,0.9071,4180,2024,3,adequate,0
Minerva Risk Advisors,life,1.367,0.4633,0.0577,1.0398,1.3404,0.8772,5065,2024,2,strong,0
Moonlight Insurance,composite,1.5634,0.7416,0.3733,0.8828,1.303,0.512,4443,2024,3,adequate,0
Heritage Life Assurance,life,1.6091,0.3862,-0.299,0.5521,1.1975,0.991,1489,2024,3,strong,1
ZB Bank Insurance,general,1.8437,0.1518,-0.0596,0.9416,1.109,0.918,7884,2023,2,strong,0
Alliance Insurance,life,1.3607,0.4502,-0.0295,0.9738,1.1662,0.9688,3602,2022,1,strong,0
ZB Bank Insurance,life,1.3404,0.5658,0.0121,0.5925,0.9104,0.6645,832,2018,2,adequate,0
ZB Life Assurance,composite,0.9301,0.2053,-0.0625,0.5578,1.5358,0.7752,1797,2019,2,adequate,0
RM Insurance,reinsurer,1.4073,0.7669,0.1089,0.9149,1.3092,0.8625,7134,2018,1,adequate,0
RM Insurance,life,1.0918,0.4299,0.1442,1.0995,0.8934,0.5853,2144,2022,1,adequate,0
First Mutual Health,life,1.0892,0.8375,-0.1103,0.7222,1.2067,0.5434,8826,2024,3,adequate,0
Alliance Insurance,reinsurer,1.3284,0.3227,0.0312,0.877,1.0533,0.7775,14194,2018,3,strong,0
Cell Insurance,reinsurer,1.0497,0.5615,0.1064,0.9748,1.3039,0.8646,4913,2022,4,adequate,0
Moonlight Insurance,life,0.591,0.69,-0.215,0.6958,0.7462,0.545,2280,2021,3,watch,1
Heritage Life Assurance,reinsurer,0.9733,0.7492,0.0616,0.9528,0.8787,0.9182,3960,2022,2,adequate,0
Zimnat Life Assurance,general,1.374,0.3567,-0.0841,1.0037,1.5263,0.861,8170,2024,4,strong,0
CBZ Life,general,1.5164,0.853,0.1524,0.3,1.4522,0.6792,911,2024,1,adequate,0
Alliance Insurance,general,1.0721,1.0472,0.3077,0.663,1.42,0.5575,4790,2022,2,watch,0
CABS Insurance,life,1.6608,0.7716,0.1732,0.8184,1.2609,0.8452,4800,2020,1,adequate,0
NicozDiamond Brokers,general,1.6806,0.5882,0.2175,0.9534,0.9294,0.9467,4526,2021,1,strong,0
Sanctuary Insurance,life,2.3496,0.3278,0.2665,0.9509,1.2957,0.7772,4560,2020,3,strong,0
Moonlight Insurance,general,1.3552,0.8954,0.065,0.814,0.4,0.7431,11031,2024,1,adequate,0
Minerva Risk Advisors,life,1.1852,0.8739,0.5175,0.8068,1.2492,0.9299,12167,2018,4,adequate,0
FBC Insurance,composite,1.8325,0.9208,0.1699,0.7577,0.7792,0.9117,4758,2023,4,adequate,0
Moonlight Insurance,life,1.8495,0.6261,0.5431,0.7675,1.0978,0.5119,3040,2022,3,adequate,0
Old Mutual Zimbabwe,composite,1.6628,0.9037,-0.0188,0.6813,1.3251,0.6052,6006,2019,1,adequate,0
FBC Insurance,life,1.5614,0.3815,0.3301,0.8414,1.2527,0.7768,11042,2024,2,strong,0
Cell Insurance,general,1.3281,0.6276,0.0382,0.9185,1.3033,0.7643,2160,2019,1,adequate,0
FBC Insurance,reinsurer,1.4514,0.3418,0.2346,0.9112,0.7787,0.8559,12405,2019,2,strong,0
CBZ Life,reinsurer,1.0495,1.0852,-0.0644,0.843,1.7423,0.9476,3948,2018,3,adequate,0
Tristar Insurance,life,1.172,0.6163,0.2765,0.7102,1.3165,0.6365,4158,2021,2,adequate,0
Heritage Life Assurance,general,1.3189,0.3752,0.0966,0.6995,0.94,0.6139,1916,2021,4,adequate,0
CBZ Life,composite,0.5239,0.5221,-0.0932,0.8347,0.5856,0.5826,1460,2019,4,watch,1
Heritage Insurance,life,1.6109,0.8443,0.2259,0.7994,0.7224,0.5672,12043,2023,1,adequate,0
First Mutual Life,reinsurer,1.5552,0.7049,0.0872,0.7704,1.2748,0.6302,2334,2024,1,adequate,0
First Mutual Health,reinsurer,1.6189,0.603,0.1629,1.1827,1.3032,0.8516,5186,2022,1,strong,0
Tristar Insurance,general,1.5119,0.9574,0.2629,1.2148,1.4679,0.8812,3185,2022,1,adequate,0
Minerva Risk Advisors,composite,1.5069,0.6391,0.0915,0.6285,0.5537,0.5331,3334,2024,1,adequate,0
Old Mutual Zimbabwe,general,2.1996,0.7732,0.2832,0.8629,0.998,0.6135,7572,2018,1,adequate,0
Tristar Insurance,general,0.7655,1.1163,-0.2334,0.9816,1.8443,0.9013,1449,2023,4,watch,1
ZB Life Assurance,reinsurer,2.1434,0.7684,-0.0785,0.9325,1.5039,0.9602,3200,2020,4,strong,0
Fidelity Life Zimbabwe,composite,1.2955,0.4891,0.1729,0.9527,1.4612,0.8426,3154,2022,2,strong,0
Fidelity Life Zimbabwe,reinsurer,1.5512,0.8185,-0.035,0.8387,1.6985,0.8342,9763,2023,4,adequate,0
Old Mutual Zimbabwe,reinsurer,1.5117,0.8437,0.0918,1.1001,0.7772,0.6568,8329,2020,1,adequate,0
RM Life Zimbabwe,general,1.9198,0.7742,0.0411,0.8952,1.3188,0.84,9404,2021,3,adequate,0
Old Mutual Life Assurance Zimbabwe,general,1.4585,0.7367,-0.3154,0.3491,0.7652,0.6934,1270,2024,2,adequate,1
ZB Bank Insurance,composite,1.5467,0.5692,0.1049,0.994,1.3188,0.5145,2560,2022,1,strong,0
Alliance Insurance,life,1.6462,0.4934,0.1689,0.7931,0.847,0.8747,6256,2021,3,adequate,0
NicozDiamond Brokers,life,1.41,0.4147,0.1214,0.8797,1.4946,0.5865,8304,2023,4,strong,0
NicozDiamond Brokers,life,1.8639,0.7097,0.205,0.9184,1.4455,0.813,6784,2023,1,strong,0
Moonlight Insurance,general,1.6068,0.8031,0.0236,0.6998,1.7633,0.8912,2434,2024,1,adequate,0
CABS Insurance,composite,0.8638,0.5853,-0.2718,1.1404,1.0887,0.6781,9231,2022,1,adequate,0
Tristar Insurance,composite,1.9778,0.8532,0.1965,0.831,0.844,0.8885,5085,2021,4,adequate,0
Old Mutual Zimbabwe,composite,1.4171,0.8927,-0.4,0.7894,0.9046,0.6115,3162,2021,1,adequate,0
Heritage Insurance,reinsurer,0.9536,0.9551,-0.1065,0.8122,1.4408,0.671,3304,2019,4,watch,0
Zimnat General Insurance,composite,1.6854,0.5894,0.2688,1.3612,0.568,0.941,1059,2023,2,adequate,0
NicozDiamond Brokers,composite,1.8921,0.5691,-0.2962,0.311,1.5961,0.8054,2412,2023,1,adequate,1
RM Insurance,reinsurer,1.8784,0.4146,0.1906,0.9486,1.1293,0.6747,50000,2023,4,strong,0
Nicoz Diamond Insurance,life,0.6758,1.1147,0.0152,0.7544,1.4862,0.6385,3832,2019,4,watch,1
RM Insurance,life,1.6999,0.3243,0.1367,0.9644,1.2553,0.8474,3040,2020,1,strong,0
Moonlight Insurance,general,1.3849,0.4976,0.0687,0.9723,0.8142,0.7309,15058,2019,4,adequate,0
CBZ Life,general,0.9254,0.856,-0.1192,0.9836,1.5674,0.655,1022,2023,2,adequate,0
Fidelity Life Zimbabwe,general,1.1818,0.423,0.3148,0.7689,1.5527,0.7982,10619,2018,3,strong,0
Cell Insurance,life,1.0249,0.3046,-0.3114,0.4553,1.6072,0.8209,1642,2019,1,adequate,1
Heritage Insurance,reinsurer,1.6954,0.6157,0.2017,0.9481,1.703,0.6735,10495,2024,1,strong,0
Heritage Life Assurance,reinsurer,1.4299,0.9106,-0.0317,0.6692,1.0987,0.9155,7143,2022,4,adequate,0
CABS Insurance,life,1.5275,0.3128,0.096,0.6603,0.9418,0.6829,8839,2024,2,strong,0
FBC Insurance,composite,1.5502,0.7476,-0.0364,0.9584,1.0834,0.5313,4602,2022,3,adequate,0
Moonlight Insurance,composite,1.699,0.8543,0.0197,0.8022,1.3893,0.5456,9943,2021,2,adequate,0
Zimnat General Insurance,life,1.1793,0.6264,0.2378,0.7984,0.6604,0.745,4535,2024,1,adequate,0
Fidelity Life Zimbabwe,life,1.3232,0.599,-0.2634,0.3893,1.4181,0.8098,2084,2019,2,adequate,1
Tristar Insurance,composite,1.6039,0.3646,0.0397,1.0197,0.8723,0.7921,4256,2023,2,strong,0
Sanctuary Insurance,general,1.4538,0.6092,0.0501,1.2432,1.2078,0.8983,3209,2021,1,strong,0
RM Life Zimbabwe,composite,1.8902,1.085,-0.3195,1.1005,1.3008,0.8469,2186,2022,1,adequate,0
Nicoz Diamond Insurance,composite,2.0438,0.711,0.2001,0.8505,1.2657,0.5862,1018,2019,4,adequate,0
Minerva Risk Advisors,life,1.2725,0.6309,-0.0653,0.7889,1.3864,0.5528,641,2023,2,adequate,0
Heritage Insurance,composite,1.5703,0.4055,0.204,0.7666,0.9536,0.7539,29672,2024,3,strong,0
Zimnat Life Assurance,composite,1.4561,0.3893,0.1362,1.0237,1.3215,0.7888,3996,2024,2,strong,0
Minerva Risk Advisors,reinsurer,0.9891,0.3891,0.1498,0.855,1.495,0.7381,12249,2019,4,adequate,0
Zimnat Life Assurance,composite,1.3971,0.863,0.0503,0.7951,1.1969,0.6915,9166,2021,1,adequate,0
Nicoz Diamond Insurance,general,1.0285,0.4074,0.1864,0.9058,1.4087,0.9054,3701,2024,1,adequate,0
ZB Life Assurance,life,1.1336,0.946,-0.0933,0.8093,1.186,0.7534,3418,2020,4,adequate,0
NicozDiamond Brokers,reinsurer,1.1896,0.3168,0.1889,1.0671,2.0938,0.9648,2492,2022,2,strong,0
Old Mutual Life Assurance Zimbabwe,composite,1.3411,0.4327,0.2373,1.1112,0.7882,0.9903,3479,2022,1,strong,0
ZB Life Assurance,general,1.5019,0.2152,0.2869,1.114,1.0181,0.926,1393,2022,3,strong,0
Minerva Risk Advisors,reinsurer,1.3774,0.4729,0.1862,0.9885,1.0194,0.7104,758,2019,3,strong,0
RM Life Zimbabwe,life,1.5202,0.5044,0.0055,1.0717,0.8216,0.7918,4420,2022,2,strong,0
Tristar Insurance,reinsurer,1.3186,0.7025,0.0173,0.9377,0.7803,0.6244,3071,2018,2,adequate,0
First Mutual Health,reinsurer,1.3727,0.588,-0.12,0.7042,0.922,0.5689,12182,2020,3,adequate,0
Fidelity Life Zimbabwe,composite,2.1237,0.7442,-0.093,0.8697,1.007,0.8888,19453,2020,2,adequate,0
Fidelity Life Zimbabwe,life,1.8747,0.5965,0.0517,0.7368,1.2063,0.8477,2996,2020,3,adequate,0
Heritage Life Assurance,general,1.9814,0.2528,-0.1933,1.186,0.9495,0.8224,3806,2023,3,strong,0
Old Mutual Zimbabwe,general,1.4389,0.4951,-0.2372,0.7831,0.8136,0.5879,8162,2024,2,adequate,0
First Mutual Life,general,1.4122,0.6924,0.0284,0.7996,1.7113,0.5405,846,2021,2,adequate,0
Zimnat Life Assurance,composite,1.3186,0.6154,0.216,0.8917,0.8793,0.8962,5058,2022,4,adequate,0
Tristar Insurance,composite,1.7525,0.724,0.0345,0.6198,1.6519,0.6338,6744,2024,4,adequate,0
CABS Insurance,general,0.7654,0.6348,0.2807,0.7714,1.3911,0.579,3154,2020,4,adequate,1
Tristar Insurance,life,1.5573,0.2257,0.134,0.9756,1.9055,0.8991,1949,2023,3,strong,0
Sanctuary Insurance,composite,1.175,0.4167,0.0336,0.966,1.0569,0.7074,9775,2020,1,adequate,0
Fidelity Life Zimbabwe,composite,1.3702,0.8278,0.0531,0.9624,1.3101,0.8842,1414,2019,3,adequate,0
Minerva Risk Advisors,reinsurer,1.1764,0.3881,0.1306,0.8869,1.4589,0.8991,9328,2023,4,strong,0
ZB Life Assurance,life,1.3134,0.7771,0.4534,1.1028,0.7985,0.5393,6304,2018,1,adequate,0
Heritage Life Assurance,reinsurer,1.3853,0.555,0.0166,0.9598,1.3596,0.5771,6351,2023,1,strong,0
Zimnat General Insurance,general,0.861,0.4694,0.2228,0.8277,1.1113,0.6073,3861,2022,3,adequate,0
Heritage Life Assurance,general,1.1066,0.8575,-0.0679,0.8929,0.8958,0.5701,10495,2020,4,adequate,0
FBC Insurance,reinsurer,1.6557,0.4033,0.1818,0.6568,1.2989,0.8369,44428,2019,2,strong,0
Old Mutual Life Assurance Zimbabwe,life,1.0607,0.8133,-0.0207,0.795,1.4015,0.8283,1821,2020,3,adequate,0
ZB Life Assurance,general,1.8553,0.1,-0.2645,0.4695,1.445,0.8788,990,2018,3,strong,1
First Mutual Health,general,1.3881,0.4601,-0.0021,0.9456,1.4333,0.7145,8468,2020,1,strong,0
Alliance Insurance,composite,1.7899,0.7572,0.2171,0.775,1.1227,0.5625,1745,2024,1,adequate,0
First Mutual Life,general,1.8045,0.6718,-0.0499,0.9275,1.2208,0.6247,15843,2019,3,strong,0
Zimnat Life Assurance,composite,1.0586,0.9677,-0.3678,0.5177,1.5805,0.9641,2561,2022,3,watch,1
First Mutual Health,general,1.5543,0.373,0.1467,0.72,1.3875,0.7928,2903,2022,3,strong,0
Fidelity Life Zimbabwe,general,1.5253,0.7231,0.3074,1.1082,1.664,0.8834,2098,2023,2,strong,0
Old Mutual Zimbabwe,general,1.368,0.4606,0.2697,0.815,1.2381,0.8134,17365,2021,3,strong,0
NicozDiamond Brokers,life,2.153,0.8517,-0.0556,0.6628,0.912,0.5656,3562,2024,4,adequate,0
Tristar Insurance,life,1.0411,0.573,0.1336,1.1054,1.3115,0.8041,5294,2023,1,adequate,0
Fidelity Life Zimbabwe,general,1.8293,0.8237,0.2306,0.8148,1.1753,0.8032,2678,2021,4,adequate,0
Fidelity Life Zimbabwe,life,1.0252,0.791,0.0411,0.9659,1.1067,0.9338,1533,2022,1,adequate,0
Moonlight Insurance,reinsurer,1.9881,0.7255,0.3439,0.7575,1.2373,0.7556,2044,2024,2,adequate,0
Heritage Life Assurance,composite,0.9994,0.1069,0.0137,0.9312,1.7686,0.6552,3698,2018,2,strong,0
RM Insurance,composite,1.5327,0.316,-0.1743,0.6827,0.8357,0.74,23457,2020,3,strong,0
ZB Bank Insurance,general,0.9409,0.3347,0.2846,1.0773,1.6098,0.9094,1963,2024,1,strong,0
Fidelity Life Assurance,general,1.9516,0.6844,-0.0603,0.9445,0.9945,0.7471,7345,2020,4,adequate,0
CBZ Life,life,1.8792,0.709,0.2834,0.9721,1.4295,0.8361,1870,2020,2,strong,0
Heritage Life Assurance,general,1.5582,0.8758,-0.0185,0.8726,1.6542,0.7858,6440,2020,1,adequate,0
Alliance Insurance,reinsurer,1.1389,0.6318,0.242,0.9909,1.2021,0.9637,6978,2019,2,adequate,0
Zimnat General Insurance,life,1.2222,0.4462,0.1122,0.971,0.9878,0.503,3635,2022,4,adequate,0
ZB Life Assurance,life,1.3193,1.0685,0.0581,0.8097,1.8533,0.7686,8044,2020,1,adequate,0
Alliance Insurance,composite,1.9932,0.5527,0.2681,0.8902,1.1264,0.9664,3922,2023,1,strong,0
Old Mutual Zimbabwe,life,1.2752,0.2354,0.0514,0.9655,1.4113,0.8248,1874,2023,3,strong,0
Old Mutual Life Assurance Zimbabwe,life,1.2102,0.7777,-0.011,0.8797,1.1172,0.7848,3825,2022,3,adequate,0
Zimnat Life Assurance,life,1.4214,0.6437,0.0978,1.0196,1.7893,0.9942,3342,2023,3,strong,0
Zimnat Life Assurance,composite,0.9587,0.4431,0.0826,0.7401,1.4717,0.5795,4993,2018,2,adequate,1
CBZ Life,life,1.6503,0.7902,0.3585,0.6578,0.9767,0.6856,3616,2021,3,adequate,0
Old Mutual Zimbabwe,general,1.1583,0.5923,0.0272,1.1706,1.5818,0.7862,5943,2018,4,adequate,0
NicozDiamond Brokers,reinsurer,1.3759,0.3116,-0.1872,0.951,1.1158,0.9487,2433,2022,3,strong,0
Heritage Life Assurance,composite,2.1233,0.2643,0.4066,0.8808,1.7846,0.6531,5753,2019,2,strong,0
Zimnat Life Assurance,general,1.4114,0.8777,0.1817,1.1237,1.3069,0.7838,911,2021,4,adequate,0
Nicoz Diamond Insurance,reinsurer,1.0459,0.8568,-0.2747,0.7877,1.4079,0.8389,4862,2024,4,adequate,0
ZB Bank Insurance,reinsurer,1.5797,0.5248,-0.0631,0.8438,1.8112,0.6298,1801,2024,2,strong,0
Old Mutual Zimbabwe,composite,1.2146,0.6956,0.0941,0.8555,1.1612,0.8993,5417,2019,3,adequate,0
Heritage Insurance,composite,1.0779,0.5271,0.3458,0.9358,1.5274,0.9486,3069,2024,3,adequate,0
First Mutual Life,life,1.3259,0.4833,-0.0565,0.9195,1.2628,0.9435,5197,2020,3,strong,0
Moonlight Insurance,life,0.942,0.3854,0.0491,1.0082,0.8521,0.7474,6889,2022,4,adequate,0
Nicoz Diamond Insurance,life,2.0103,0.3637,0.1977,0.8444,1.4645,0.7405,1582,2022,3,strong,0
Minerva Risk Advisors,life,1.323,0.744,-0.0684,0.9351,1.8285,0.6378,9254,2024,3,adequate,0
FBC Insurance,life,0.8768,0.9075,0.1748,1.1822,1.5636,0.9019,13348,2022,2,adequate,0
Heritage Insurance,general,0.6433,0.3591,-0.1822,0.7324,1.3497,0.9005,636,2021,2,adequate,1
NicozDiamond Brokers,composite,1.2031,0.6688,0.2662,1.0708,1.3349,0.9501,9204,2023,4,adequate,0
Alliance Insurance,composite,1.0011,0.8815,0.0007,0.8848,1.3307,0.8386,6559,2018,4,adequate,0
Cell Insurance,reinsurer,1.3575,0.8219,0.1624,0.766,1.2977,0.6685,6299,2023,2,adequate,0
Old Mutual Zimbabwe,reinsurer,1.9297,0.562,0.371,0.8997,0.9493,0.8195,4373,2020,1,strong,0
First Mutual Health,life,1.6023,0.1,0.0256,1.1631,1.2447,0.8578,3216,2018,4,strong,0
First Mutual Health,reinsurer,1.5798,0.2421,0.2432,0.8048,0.9593,0.705,2078,2019,1,strong,0
Minerva Risk Advisors,composite,1.1678,0.2678,0.2537,0.8932,1.3676,0.8938,4182,2020,3,strong,0
Sanctuary Insurance,general,1.1758,1.0587,0.3553,0.8897,1.4217,0.7359,2617,2024,4,adequate,0
Moonlight Insurance,composite,1.7682,0.3278,0.2551,0.9452,1.1167,0.7132,11839,2018,3,strong,0
NicozDiamond Brokers,life,1.0824,0.6138,0.323,0.9878,1.2243,0.9809,1562,2020,3,adequate,0
Nicoz Diamond Insurance,composite,0.9157,0.52,0.4441,0.7579,1.408,0.7652,6136,2019,2,adequate,0
Cell Insurance,composite,1.1788,0.4109,0.3739,1.0713,1.2246,0.5913,4166,2018,3,strong,0
Minerva Risk Advisors,general,1.253,0.7461,-0.0663,0.9939,1.076,0.7443,4724,2021,4,adequate,0
Alliance Insurance,composite,1.3202,0.8149,-0.135,0.7203,0.7015,0.6501,19129,2021,4,adequate,0
ZB Life Assurance,reinsurer,0.5005,0.7359,0.0506,0.8972,1.3513,0.6929,3699,2024,1,watch,1
RM Insurance,composite,1.901,0.6863,0.3894,0.5321,0.6495,0.6042,4552,2023,2,adequate,0
Minerva Risk Advisors,life,1.3247,1.0023,-0.1073,0.9512,1.2107,0.8548,9456,2022,3,adequate,0
NicozDiamond Brokers,life,1.3907,0.8307,0.1052,0.7941,1.0376,0.7076,4212,2022,1,adequate,0
Old Mutual Life Assurance Zimbabwe,life,1.6137,0.662,0.097,0.9977,1.5112,0.9646,1059,2023,4,strong,0
Fidelity Life Zimbabwe,composite,0.8678,0.6632,-0.0592,0.7428,1.4466,0.8005,9518,2020,2,adequate,0
CBZ Life,life,1.9977,0.6922,-0.2018,0.9756,1.0884,0.7932,662,2018,1,adequate,0
First Mutual Life,general,1.6216,0.9389,-0.0216,0.9975,1.1938,0.9002,4743,2019,4,adequate,0
NicozDiamond Brokers,composite,1.8142,0.7359,0.2591,0.7148,0.8868,0.8045,9822,2023,1,adequate,0
Nicoz Diamond Insurance,composite,1.192,0.9649,-0.0435,0.8813,1.5458,0.8824,4957,2023,3,adequate,0
RM Insurance,general,1.532,0.9204,-0.3288,0.366,1.1196,0.5478,2876,2019,3,adequate,1
Fidelity Life Zimbabwe,general,1.5856,0.694,-0.0393,0.5697,0.77,0.6123,13108,2019,1,adequate,0
Old Mutual Zimbabwe,composite,1.9489,0.1336,0.0983,0.5788,1.33,0.8052,5279,2020,2,strong,0
Fidelity Life Zimbabwe,general,1.3034,0.7405,-0.0734,1.2144,1.5486,0.9728,4602,2024,4,adequate,0
First Mutual Life,general,1.4183,0.7565,-0.0723,0.7094,1.4088,0.6943,4701,2022,3,adequate,0
